Error loading layout at './core/test-layouts': Path './core/test-layouts' either doesn't exist or is not a directory
Error loading layout from './layouts/test': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-gen': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-best': Is a directory (os error 21)
Error loading layout from './layouts/long-run': Is a directory (os error 21)
> gen: random restart greedy, 3 threads, top 1, from my-layout (2400s)

  1 layouts | best: -3.12T | 1/s | 0.7s   
  4 layouts | best: -1.58T | 3/s | 1.4s   
  7 layouts | best: -1.58T | 3/s | 2.1s   
  10 layouts | best: -1.46T | 2/s | 4.7s   
  13 layouts | best: -1.18T | 2/s | 5.4s   
  16 layouts | best: -1.18T | 2/s | 6.5s   
  17 layouts | best: -1.18T | 2/s | 8.6s   
  1.82K layouts | best: -1.02T | 2/s | 799.0s   
  1.83K layouts | best: -1.02T | 2/s | 799.7s   
  1.83K layouts | best: -1.02T | 2/s | 800.5s   
  1.83K layouts | best: -1.02T | 2/s | 801.2s   
  1.84K layouts | best: -1.02T | 2/s | 801.9s   
  1.84K layouts | best: -1.02T | 2/s | 802.7s   
  1.84K layouts | best: -1.02T | 2/s | 803.8s   
  1.84K layouts | best: -1.02T | 2/s | 805.0s   
  1.84K layouts | best: -1.02T | 2/s | 805.5s   
  1.84K layouts | best: -1.02T | 2/s | 806.2s   
  1.84K layouts | best: -1.02T | 2/s | 806.8s   
  1.85K layouts | best: -1.02T | 2/s | 807.8s   
  1.85K layouts | best: -1.02T | 2/s | 808.5s   
  1.85K layouts | best: -1.02T | 2/s | 809.3s   
  1.85K layouts | best: -1.02T | 2/s | 810.3s   
  1.85K layouts | best: -1.02T | 2/s | 811.2s   
  1.85K layouts | best: -1.02T | 2/s | 811.7s   
  1.86K layouts | best: -1.02T | 2/s | 812.2s   
  1.86K layouts | best: -1.02T | 2/s | 812.9s   
  1.86K layouts | best: -1.02T | 2/s | 813.6s   
  1.86K layouts | best: -1.02T | 2/s | 814.7s   
  1.86K layouts | best: -1.02T | 2/s | 815.4s   
  1.87K layouts | best: -1.02T | 2/s | 816.1s   
  1.87K layouts | best: -1.02T | 2/s | 816.7s   
  1.87K layouts | best: -1.02T | 2/s | 817.5s   
  1.88K layouts | best: -1.02T | 2/s | 818.3s   
  1.88K layouts | best: -1.02T | 2/s | 819.1s   
  1.88K layouts | best: -1.02T | 2/s | 821.5s   
  1.88K layouts | best: -1.02T | 2/s | 822.4s   
  1.89K layouts | best: -1.02T | 2/s | 823.4s   
  1.89K layouts | best: -1.02T | 2/s | 824.3s   
  1.89K layouts | best: -1.02T | 2/s | 825.0s   
  1.89K layouts | best: -1.02T | 2/s | 825.8s   
  1.89K layouts | best: -1.02T | 2/s | 826.5s   
  1.89K layouts | best: -1.02T | 2/s | 828.4s   
  1.89K layouts | best: -1.02T | 2/s | 829.2s   
  1.90K layouts | best: -1.02T | 2/s | 829.9s   
  1.90K layouts | best: -1.02T | 2/s | 830.5s   
  1.90K layouts | best: -1.02T | 2/s | 831.2s   
  1.90K layouts | best: -1.02T | 2/s | 832.0s   
  1.90K layouts | best: -1.02T | 2/s | 832.7s   
  1.91K layouts | best: -1.02T | 2/s | 833.6s   
  1.91K layouts | best: -1.02T | 2/s | 834.5s   
  1.91K layouts | best: -1.02T | 2/s | 835.2s   
  1.91K layouts | best: -1.02T | 2/s | 835.9s   
  1.91K layouts | best: -1.02T | 2/s | 836.6s   
  1.91K layouts | best: -1.02T | 2/s | 837.1s   
  1.91K layouts | best: -1.02T | 2/s | 837.9s   
  1.92K layouts | best: -1.02T | 2/s | 838.7s   
  1.92K layouts | best: -1.02T | 2/s | 839.6s   
  1.92K layouts | best: -1.02T | 2/s | 840.3s   
  1.92K layouts | best: -1.02T | 2/s | 841.2s   
  1.92K layouts | best: -1.02T | 2/s | 841.9s   
  1.92K layouts | best: -1.02T | 2/s | 843.0s   
  1.93K layouts | best: -1.02T | 2/s | 843.7s   
  1.93K layouts | best: -1.02T | 2/s | 844.5s   
  1.93K layouts | best: -1.02T | 2/s | 845.0s   
  1.93K layouts | best: -1.02T | 2/s | 845.8s   
  1.93K layouts | best: -1.02T | 2/s | 846.5s   
  1.93K layouts | best: -1.02T | 2/s | 847.2s   
  1.94K layouts | best: -1.02T | 2/s | 848.0s   
  1.94K layouts | best: -1.02T | 2/s | 848.7s   
  1.94K layouts | best: -1.02T | 2/s | 849.6s   
  1.94K layouts | best: -1.02T | 2/s | 851.0s   
  1.94K layouts | best: -1.02T | 2/s | 851.7s   
  1.94K layouts | best: -1.02T | 2/s | 852.3s   
  1.95K layouts | best: -1.02T | 2/s | 853.1s   
  1.95K layouts | best: -1.02T | 2/s | 853.8s   
  1.95K layouts | best: -1.02T | 2/s | 854.5s   
  1.95K layouts | best: -1.02T | 2/s | 855.4s   
  1.95K layouts | best: -1.02T | 2/s | 856.4s   
  1.96K layouts | best: -1.02T | 2/s | 857.6s   
  1.96K layouts | best: -1.02T | 2/s | 858.3s   
  1.96K layouts | best: -1.02T | 2/s | 859.0s   
  1.96K layouts | best: -1.02T | 2/s | 859.8s   
  1.96K layouts | best: -1.02T | 2/s | 860.3s   
  1.96K layouts | best: -1.02T | 2/s | 861.2s   
  1.97K layouts | best: -1.02T | 2/s | 861.9s   
  1.97K layouts | best: -1.02T | 2/s | 862.6s   
  1.97K layouts | best: -1.02T | 2/s | 863.2s   
  1.97K layouts | best: -1.02T | 2/s | 863.9s   
  1.98K layouts | best: -1.02T | 2/s | 864.7s   
  1.98K layouts | best: -1.02T | 2/s | 865.7s   
  1.98K layouts | best: -1.02T | 2/s | 867.5s   
  1.98K layouts | best: -1.02T | 2/s | 868.3s   
  1.99K layouts | best: -1.02T | 2/s | 869.2s   
  1.99K layouts | best: -1.02T | 2/s | 869.9s   
  1.99K layouts | best: -1.02T | 2/s | 870.6s   
  1.99K layouts | best: -1.02T | 2/s | 871.5s   
  1.99K layouts | best: -1.02T | 2/s | 872.4s   
  2.00K layouts | best: -1.02T | 2/s | 873.1s   
  2.00K layouts | best: -1.02T | 2/s | 873.9s   
  2.00K layouts | best: -1.02T | 2/s | 874.6s   
  2.00K layouts | best: -1.02T | 2/s | 875.7s   
  2.00K layouts | best: -1.02T | 2/s | 876.6s   
  2.01K layouts | best: -1.02T | 2/s | 877.4s   
  2.01K layouts | best: -1.02T | 2/s | 878.1s   
  2.01K layouts | best: -1.02T | 2/s | 878.8s   
  2.01K layouts | best: -1.02T | 2/s | 879.6s   
  2.01K layouts | best: -1.02T | 2/s | 880.3s   
  2.02K layouts | best: -1.02T | 2/s | 881.0s   
  2.02K layouts | best: -1.02T | 2/s | 881.7s   
  2.02K layouts | best: -1.02T | 2/s | 882.5s   
  2.02K layouts | best: -1.02T | 2/s | 883.2s   
  2.02K layouts | best: -1.02T | 2/s | 883.9s   
  2.03K layouts | best: -1.02T | 2/s | 884.8s   
  2.03K layouts | best: -1.02T | 2/s | 886.6s   
  2.03K layouts | best: -1.02T | 2/s | 887.3s   
  2.03K layouts | best: -1.02T | 2/s | 888.1s   
  2.04K layouts | best: -1.02T | 2/s | 888.8s   
  2.04K layouts | best: -1.02T | 2/s | 889.5s   
  2.04K layouts | best: -1.02T | 2/s | 890.4s   
  2.04K layouts | best: -1.02T | 2/s | 891.2s   
  2.04K layouts | best: -1.02T | 2/s | 892.0s   
  2.04K layouts | best: -1.02T | 2/s | 892.8s   
  2.04K layouts | best: -1.02T | 2/s | 893.5s   
  2.05K layouts | best: -1.02T | 2/s | 894.3s   
  2.05K layouts | best: -1.02T | 2/s | 895.1s   
  2.05K layouts | best: -1.02T | 2/s | 895.8s   
  2.05K layouts | best: -1.02T | 2/s | 896.5s   
  2.06K layouts | best: -1.02T | 2/s | 897.2s   
  2.06K layouts | best: -1.02T | 2/s | 898.0s   
  2.06K layouts | best: -1.02T | 2/s | 898.7s   
  2.06K layouts | best: -1.02T | 2/s | 899.4s   
  2.06K layouts | best: -1.02T | 2/s | 900.2s   
  2.06K layouts | best: -1.02T | 2/s | 900.9s   
  2.07K layouts | best: -1.02T | 2/s | 902.0s   
  2.07K layouts | best: -1.02T | 2/s | 902.9s   
  2.07K layouts | best: -1.02T | 2/s | 904.1s   
  2.07K layouts | best: -1.02T | 2/s | 904.8s   
  2.07K layouts | best: -1.02T | 2/s | 905.6s   
  2.08K layouts | best: -1.02T | 2/s | 906.5s   
  2.08K layouts | best: -1.02T | 2/s | 907.2s   
  2.08K layouts | best: -1.02T | 2/s | 907.9s   
  2.08K layouts | best: -1.02T | 2/s | 908.6s   
  2.09K layouts | best: -1.02T | 2/s | 909.4s   
  2.09K layouts | best: -1.02T | 2/s | 910.1s   
  2.09K layouts | best: -1.02T | 2/s | 911.4s   
  2.09K layouts | best: -1.02T | 2/s | 912.1s   
  2.09K layouts | best: -1.02T | 2/s | 912.9s   
  2.10K layouts | best: -1.02T | 2/s | 913.6s   
  2.10K layouts | best: -1.02T | 2/s | 914.7s   
  2.10K layouts | best: -1.02T | 2/s | 915.9s   
  2.10K layouts | best: -1.02T | 2/s | 916.6s   
  2.10K layouts | best: -1.02T | 2/s | 917.4s   
  2.10K layouts | best: -1.02T | 2/s | 918.1s   
  2.11K layouts | best: -1.02T | 2/s | 919.0s   
  2.11K layouts | best: -1.02T | 2/s | 920.9s   
  2.11K layouts | best: -1.02T | 2/s | 921.4s   
  2.11K layouts | best: -1.02T | 2/s | 922.0s   
  2.11K layouts | best: -1.02T | 2/s | 924.2s   
  2.12K layouts | best: -1.02T | 2/s | 925.0s   
  2.12K layouts | best: -1.02T | 2/s | 925.8s   
  2.12K layouts | best: -1.02T | 2/s | 926.5s   
  2.12K layouts | best: -1.02T | 2/s | 927.2s   
  2.12K layouts | best: -1.02T | 2/s | 928.0s   
  2.13K layouts | best: -1.02T | 2/s | 928.7s   
  2.13K layouts | best: -1.02T | 2/s | 929.2s   
  2.13K layouts | best: -1.02T | 2/s | 930.0s   
  2.13K layouts | best: -1.02T | 2/s | 930.7s   
  2.14K layouts | best: -1.02T | 2/s | 931.5s   
  2.14K layouts | best: -1.02T | 2/s | 932.2s   
  2.14K layouts | best: -1.02T | 2/s | 932.9s   
  2.14K layouts | best: -1.02T | 2/s | 933.7s   
  2.14K layouts | best: -1.02T | 2/s | 934.4s   
  2.14K layouts | best: -1.02T | 2/s | 935.2s   
  2.15K layouts | best: -1.02T | 2/s | 935.8s   
  2.15K layouts | best: -1.02T | 2/s | 936.5s   
  2.15K layouts | best: -1.02T | 2/s | 937.3s   
  2.15K layouts | best: -1.02T | 2/s | 938.0s   
  2.15K layouts | best: -1.02T | 2/s | 938.7s   
  2.16K layouts | best: -1.02T | 2/s | 939.4s   
  2.16K layouts | best: -1.02T | 2/s | 940.3s   
  2.16K layouts | best: -1.02T | 2/s | 941.1s   
  2.16K layouts | best: -1.02T | 2/s | 941.9s   
  2.16K layouts | best: -1.02T | 2/s | 942.7s   
  2.17K layouts | best: -1.02T | 2/s | 943.5s   
  2.17K layouts | best: -1.02T | 2/s | 944.1s   
  2.17K layouts | best: -1.02T | 2/s | 944.9s   
  2.17K layouts | best: -1.02T | 2/s | 945.7s   
  2.17K layouts | best: -1.02T | 2/s | 946.5s   
  2.17K layouts | best: -1.02T | 2/s | 947.0s   
  2.17K layouts | best: -1.02T | 2/s | 947.8s   
  2.18K layouts | best: -1.02T | 2/s | 948.5s   
  2.18K layouts | best: -1.02T | 2/s | 949.3s   
  2.18K layouts | best: -1.02T | 2/s | 950.0s   
  2.19K layouts | best: -1.02T | 2/s | 950.7s   
  2.19K layouts | best: -1.02T | 2/s | 951.4s   
  2.19K layouts | best: -1.02T | 2/s | 952.2s   
  2.19K layouts | best: -1.02T | 2/s | 952.9s   
  2.19K layouts | best: -1.02T | 2/s | 953.6s   
  2.20K layouts | best: -1.02T | 2/s | 956.1s   
  2.20K layouts | best: -1.02T | 2/s | 956.8s   
  2.20K layouts | best: -1.02T | 2/s | 957.7s   
  2.20K layouts | best: -1.02T | 2/s | 958.7s   
  2.21K layouts | best: -1.02T | 2/s | 959.2s   
  2.21K layouts | best: -1.02T | 2/s | 960.5s   
  2.21K layouts | best: -1.02T | 2/s | 961.2s   
  2.21K layouts | best: -1.02T | 2/s | 961.8s   
  2.21K layouts | best: -1.02T | 2/s | 962.7s   
  2.21K layouts | best: -1.02T | 2/s | 963.4s   
  2.21K layouts | best: -1.02T | 2/s | 964.5s   
  2.22K layouts | best: -1.02T | 2/s | 965.3s   
  2.22K layouts | best: -1.02T | 2/s | 966.1s   
  2.22K layouts | best: -1.02T | 2/s | 967.0s   
  2.23K layouts | best: -1.02T | 2/s | 967.7s   
  2.23K layouts | best: -1.02T | 2/s | 968.4s   
  2.23K layouts | best: -1.02T | 2/s | 969.1s   
  2.23K layouts | best: -1.02T | 2/s | 970.1s   
  2.23K layouts | best: -1.02T | 2/s | 970.8s   
  2.23K layouts | best: -1.02T | 2/s | 971.5s   
  2.23K layouts | best: -1.02T | 2/s | 972.4s   
  2.24K layouts | best: -1.02T | 2/s | 973.1s   
  2.24K layouts | best: -1.02T | 2/s | 973.9s   
  2.24K layouts | best: -1.02T | 2/s | 974.6s   
  2.24K layouts | best: -1.02T | 2/s | 975.3s   
  2.25K layouts | best: -1.02T | 2/s | 976.1s   
  2.25K layouts | best: -1.02T | 2/s | 976.9s   
  2.25K layouts | best: -1.02T | 2/s | 977.6s   
  2.25K layouts | best: -1.02T | 2/s | 978.4s   
  2.26K layouts | best: -1.02T | 2/s | 979.5s   
  2.26K layouts | best: -1.02T | 2/s | 981.6s   
  2.26K layouts | best: -1.02T | 2/s | 982.6s   
  2.26K layouts | best: -1.02T | 2/s | 984.5s   
  2.26K layouts | best: -1.02T | 2/s | 985.2s   
  2.27K layouts | best: -1.02T | 2/s | 986.2s   
  2.27K layouts | best: -1.02T | 2/s | 987.1s   
  2.27K layouts | best: -1.02T | 2/s | 987.8s   
  2.27K layouts | best: -1.02T | 2/s | 988.4s   
  2.27K layouts | best: -1.02T | 2/s | 989.1s   
  2.27K layouts | best: -1.02T | 2/s | 989.7s   
  2.27K layouts | best: -1.02T | 2/s | 990.5s   
  2.27K layouts | best: -1.02T | 2/s | 991.0s   
  2.28K layouts | best: -1.02T | 2/s | 992.0s   
  2.28K layouts | best: -1.02T | 2/s | 992.7s   
  2.28K layouts | best: -1.02T | 2/s | 993.4s   
  2.28K layouts | best: -1.02T | 2/s | 994.2s   
  2.29K layouts | best: -1.02T | 2/s | 996.9s   
  2.29K layouts | best: -1.02T | 2/s | 997.5s   
  2.29K layouts | best: -1.02T | 2/s | 998.2s   
  2.29K layouts | best: -1.02T | 2/s | 999.0s   
  2.29K layouts | best: -1.02T | 2/s | 999.7s   
  2.30K layouts | best: -1.02T | 2/s | 1000.5s   
  2.30K layouts | best: -1.02T | 2/s | 1001.0s   
  2.30K layouts | best: -1.02T | 2/s | 1001.7s   
  2.30K layouts | best: -1.02T | 2/s | 1002.6s   
  2.31K layouts | best: -1.02T | 2/s | 1003.3s   
  2.31K layouts | best: -1.02T | 2/s | 1004.2s   
  2.31K layouts | best: -1.02T | 2/s | 1005.0s   
  2.31K layouts | best: -1.02T | 2/s | 1005.8s   
  2.31K layouts | best: -1.02T | 2/s | 1006.3s   
  2.32K layouts | best: -1.02T | 2/s | 1007.0s   
  2.32K layouts | best: -1.02T | 2/s | 1007.8s   
  2.32K layouts | best: -1.02T | 2/s | 1010.1s   
  2.32K layouts | best: -1.02T | 2/s | 1010.8s   
  2.33K layouts | best: -1.02T | 2/s | 1011.5s   
  2.33K layouts | best: -1.02T | 2/s | 1012.3s   
  2.33K layouts | best: -1.02T | 2/s | 1013.1s   
  2.33K layouts | best: -1.02T | 2/s | 1013.9s   
  2.33K layouts | best: -1.02T | 2/s | 1014.6s   
  2.34K layouts | best: -1.02T | 2/s | 1015.3s   
  2.34K layouts | best: -1.02T | 2/s | 1016.1s   
  2.34K layouts | best: -1.02T | 2/s | 1016.8s   
  2.34K layouts | best: -1.02T | 2/s | 1017.6s   
  2.35K layouts | best: -1.02T | 2/s | 1018.3s   
  2.35K layouts | best: -1.02T | 2/s | 1019.0s   
  2.35K layouts | best: -1.02T | 2/s | 1019.7s   
  2.35K layouts | best: -1.02T | 2/s | 1020.4s   
  2.35K layouts | best: -1.02T | 2/s | 1021.2s   
  2.35K layouts | best: -1.02T | 2/s | 1022.1s   
  2.35K layouts | best: -1.02T | 2/s | 1023.2s   
  2.35K layouts | best: -1.02T | 2/s | 1023.9s   
  2.36K layouts | best: -1.02T | 2/s | 1024.7s   
  2.36K layouts | best: -1.02T | 2/s | 1026.2s   
  2.36K layouts | best: -1.02T | 2/s | 1026.8s   
  2.36K layouts | best: -1.02T | 2/s | 1027.5s   
  2.36K layouts | best: -1.02T | 2/s | 1028.3s   
  2.37K layouts | best: -1.02T | 2/s | 1029.0s   
  2.37K layouts | best: -1.02T | 2/s | 1029.6s   
  2.37K layouts | best: -1.02T | 2/s | 1030.3s   
  2.37K layouts | best: -1.02T | 2/s | 1030.8s   
  2.37K layouts | best: -1.02T | 2/s | 1031.6s   
  2.37K layouts | best: -1.02T | 2/s | 1032.3s   
  2.38K layouts | best: -1.02T | 2/s | 1033.3s   
  2.38K layouts | best: -1.02T | 2/s | 1034.0s   
  2.38K layouts | best: -1.02T | 2/s | 1034.8s   
  2.38K layouts | best: -1.02T | 2/s | 1035.5s   
  2.39K layouts | best: -1.02T | 2/s | 1036.2s   
  2.39K layouts | best: -1.02T | 2/s | 1036.9s   
  2.39K layouts | best: -1.02T | 2/s | 1037.6s   
  2.39K layouts | best: -1.02T | 2/s | 1038.3s   
  2.39K layouts | best: -1.02T | 2/s | 1039.0s   
  2.39K layouts | best: -1.02T | 2/s | 1039.7s   
  2.40K layouts | best: -1.02T | 2/s | 1040.2s   
  2.40K layouts | best: -1.02T | 2/s | 1041.0s   
  2.40K layouts | best: -1.02T | 2/s | 1041.8s   
  2.40K layouts | best: -1.02T | 2/s | 1042.5s   
  2.40K layouts | best: -1.02T | 2/s | 1043.2s   
  2.40K layouts | best: -1.02T | 2/s | 1043.8s   
  2.41K layouts | best: -1.02T | 2/s | 1044.7s   
  2.41K layouts | best: -1.02T | 2/s | 1045.6s   
  2.41K layouts | best: -1.02T | 2/s | 1046.4s   
  2.41K layouts | best: -1.02T | 2/s | 1047.1s   
  2.41K layouts | best: -1.02T | 2/s | 1048.0s   
  2.42K layouts | best: -1.02T | 2/s | 1048.7s   
  2.42K layouts | best: -1.02T | 2/s | 1049.4s   
  2.42K layouts | best: -1.02T | 2/s | 1050.1s   
  2.42K layouts | best: -1.02T | 2/s | 1050.9s   
  2.42K layouts | best: -1.02T | 2/s | 1051.6s   
  2.42K layouts | best: -1.02T | 2/s | 1052.4s   
  2.43K layouts | best: -1.02T | 2/s | 1053.1s   
  2.43K layouts | best: -1.02T | 2/s | 1053.8s   
  2.43K layouts | best: -1.02T | 2/s | 1054.6s   
  2.43K layouts | best: -1.02T | 2/s | 1055.4s   
  2.44K layouts | best: -1.02T | 2/s | 1056.1s   
  2.44K layouts | best: -1.02T | 2/s | 1056.6s   
  2.44K layouts | best: -1.02T | 2/s | 1057.3s   
  2.44K layouts | best: -1.02T | 2/s | 1057.8s   
  2.44K layouts | best: -1.02T | 2/s | 1058.3s   
  2.44K layouts | best: -1.02T | 2/s | 1060.1s   
  2.44K layouts | best: -1.02T | 2/s | 1060.9s   
  2.45K layouts | best: -1.02T | 2/s | 1061.7s   
  2.45K layouts | best: -1.02T | 2/s | 1063.6s   
  2.45K layouts | best: -1.02T | 2/s | 1064.3s   
  2.45K layouts | best: -1.02T | 2/s | 1065.0s   
  2.46K layouts | best: -1.02T | 2/s | 1067.4s   
  2.46K layouts | best: -1.02T | 2/s | 1068.1s   
  2.46K layouts | best: -1.02T | 2/s | 1068.8s   
  2.46K layouts | best: -1.02T | 2/s | 1069.5s   
  2.46K layouts | best: -1.02T | 2/s | 1070.2s   
  2.47K layouts | best: -1.02T | 2/s | 1070.9s   
  2.47K layouts | best: -1.02T | 2/s | 1071.7s   
  2.47K layouts | best: -1.02T | 2/s | 1072.5s   
  2.47K layouts | best: -1.02T | 2/s | 1073.2s   
  2.48K layouts | best: -1.02T | 2/s | 1074.4s   
  2.48K layouts | best: -1.02T | 2/s | 1076.1s   
  2.48K layouts | best: -1.02T | 2/s | 1076.9s   
  2.48K layouts | best: -1.02T | 2/s | 1077.7s   
  2.48K layouts | best: -1.02T | 2/s | 1078.4s   
  2.48K layouts | best: -1.02T | 2/s | 1078.9s   
  2.48K layouts | best: -1.02T | 2/s | 1079.7s   
  2.49K layouts | best: -1.02T | 2/s | 1080.4s   
  2.49K layouts | best: -1.00T | 2/s | 1081.0s   
  2.49K layouts | best: -1.00T | 2/s | 1081.7s   
  2.49K layouts | best: -1.00T | 2/s | 1082.5s   
  2.50K layouts | best: -1.00T | 2/s | 1083.2s   
  2.50K layouts | best: -1.00T | 2/s | 1083.8s   
  2.50K layouts | best: -1.00T | 2/s | 1084.4s   
  2.50K layouts | best: -1.00T | 2/s | 1085.1s   
  2.50K layouts | best: -1.00T | 2/s | 1085.8s   
  2.50K layouts | best: -1.00T | 2/s | 1086.5s   
  2.50K layouts | best: -1.00T | 2/s | 1087.2s   
  2.51K layouts | best: -1.00T | 2/s | 1088.0s   
  2.51K layouts | best: -1.00T | 2/s | 1088.7s   
  2.51K layouts | best: -1.00T | 2/s | 1089.5s   
  2.51K layouts | best: -1.00T | 2/s | 1090.3s   
  2.51K layouts | best: -1.00T | 2/s | 1091.0s   
  2.51K layouts | best: -1.00T | 2/s | 1091.7s   
  2.52K layouts | best: -1.00T | 2/s | 1092.5s   
  2.52K layouts | best: -1.00T | 2/s | 1093.7s   
  2.52K layouts | best: -1.00T | 2/s | 1094.4s   
  2.52K layouts | best: -1.00T | 2/s | 1095.0s   
  2.52K layouts | best: -1.00T | 2/s | 1095.8s   
  2.53K layouts | best: -1.00T | 2/s | 1096.5s   
  2.53K layouts | best: -1.00T | 2/s | 1097.2s   
  2.53K layouts | best: -1.00T | 2/s | 1097.9s   
  2.53K layouts | best: -1.00T | 2/s | 1098.7s   
  2.53K layouts | best: -1.00T | 2/s | 1099.4s   
  2.53K layouts | best: -1.00T | 2/s | 1100.2s   
  2.54K layouts | best: -1.00T | 2/s | 1100.7s   
  2.54K layouts | best: -1.00T | 2/s | 1101.5s   
  2.54K layouts | best: -1.00T | 2/s | 1102.2s   
  2.54K layouts | best: -1.00T | 2/s | 1102.9s   
  2.54K layouts | best: -1.00T | 2/s | 1104.2s   
  2.55K layouts | best: -1.00T | 2/s | 1105.0s   
  2.55K layouts | best: -1.00T | 2/s | 1105.7s   
  2.55K layouts | best: -1.00T | 2/s | 1106.5s   
  2.55K layouts | best: -1.00T | 2/s | 1107.3s   
  2.55K layouts | best: -1.00T | 2/s | 1108.0s   
  2.56K layouts | best: -1.00T | 2/s | 1108.8s   
  2.56K layouts | best: -1.00T | 2/s | 1109.5s   
  2.56K layouts | best: -1.00T | 2/s | 1110.3s   
  2.56K layouts | best: -1.00T | 2/s | 1111.1s   
  2.56K layouts | best: -1.00T | 2/s | 1111.8s   
  2.57K layouts | best: -1.00T | 2/s | 1112.6s   
  2.57K layouts | best: -1.00T | 2/s | 1113.2s   
  2.57K layouts | best: -1.00T | 2/s | 1113.9s   
  2.57K layouts | best: -1.00T | 2/s | 1114.6s   
  2.58K layouts | best: -1.00T | 2/s | 1115.3s   
  2.58K layouts | best: -1.00T | 2/s | 1116.2s   
  2.58K layouts | best: -1.00T | 2/s | 1116.9s   
  2.58K layouts | best: -1.00T | 2/s | 1117.7s   
  2.58K layouts | best: -1.00T | 2/s | 1118.5s   
  2.58K layouts | best: -1.00T | 2/s | 1119.9s   
  2.59K layouts | best: -1.00T | 2/s | 1121.2s   
  2.59K layouts | best: -1.00T | 2/s | 1121.9s   
  2.59K layouts | best: -1.00T | 2/s | 1122.7s   
  2.59K layouts | best: -1.00T | 2/s | 1123.4s   
  2.60K layouts | best: -1.00T | 2/s | 1124.1s   
  2.60K layouts | best: -1.00T | 2/s | 1124.8s   
  2.60K layouts | best: -1.00T | 2/s | 1125.5s   
  2.60K layouts | best: -1.00T | 2/s | 1126.3s   
  2.60K layouts | best: -1.00T | 2/s | 1127.0s   
  2.60K layouts | best: -1.00T | 2/s | 1127.7s   
  2.61K layouts | best: -1.00T | 2/s | 1128.4s   
  2.61K layouts | best: -1.00T | 2/s | 1129.2s   
  2.61K layouts | best: -1.00T | 2/s | 1129.9s   
  2.61K layouts | best: -1.00T | 2/s | 1130.4s   
  2.62K layouts | best: -1.00T | 2/s | 1131.1s   
  2.62K layouts | best: -1.00T | 2/s | 1132.1s   
  2.62K layouts | best: -1.00T | 2/s | 1132.8s   
  2.62K layouts | best: -1.00T | 2/s | 1133.9s   
  2.62K layouts | best: -1.00T | 2/s | 1134.5s   
  2.62K layouts | best: -1.00T | 2/s | 1135.2s   
  2.63K layouts | best: -1.00T | 2/s | 1135.9s   
  2.63K layouts | best: -1.00T | 2/s | 1136.7s   
  2.63K layouts | best: -1.00T | 2/s | 1137.4s   
  2.63K layouts | best: -1.00T | 2/s | 1138.1s   
  2.64K layouts | best: -1.00T | 2/s | 1138.8s   
  2.64K layouts | best: -1.00T | 2/s | 1139.6s   
  2.64K layouts | best: -1.00T | 2/s | 1140.4s   
  2.64K layouts | best: -1.00T | 2/s | 1141.1s   
  2.64K layouts | best: -1.00T | 2/s | 1141.8s   
  2.65K layouts | best: -1.00T | 2/s | 1142.6s   
  2.65K layouts | best: -1.00T | 2/s | 1143.3s   
  2.65K layouts | best: -1.00T | 2/s | 1144.0s   
  2.65K layouts | best: -1.00T | 2/s | 1144.7s   
  2.65K layouts | best: -1.00T | 2/s | 1145.5s   
  2.66K layouts | best: -1.00T | 2/s | 1147.0s   
  2.66K layouts | best: -1.00T | 2/s | 1147.7s   
  2.66K layouts | best: -1.00T | 2/s | 1148.4s   
  2.66K layouts | best: -1.00T | 2/s | 1149.1s   
  2.67K layouts | best: -1.00T | 2/s | 1149.9s   
  2.67K layouts | best: -1.00T | 2/s | 1150.7s   
  2.67K layouts | best: -1.00T | 2/s | 1151.4s   
  2.67K layouts | best: -1.00T | 2/s | 1152.1s   
  2.67K layouts | best: -1.00T | 2/s | 1152.8s   
  2.68K layouts | best: -1.00T | 2/s | 1153.7s   
  2.68K layouts | best: -1.00T | 2/s | 1154.4s   
  2.68K layouts | best: -1.00T | 2/s | 1155.0s   
  2.68K layouts | best: -1.00T | 2/s | 1155.6s   
  2.68K layouts | best: -1.00T | 2/s | 1156.3s   
  2.68K layouts | best: -1.00T | 2/s | 1157.0s   
  2.69K layouts | best: -1.00T | 2/s | 1157.9s   
  2.69K layouts | best: -1.00T | 2/s | 1158.6s   
  2.69K layouts | best: -1.00T | 2/s | 1159.3s   
  2.69K layouts | best: -1.00T | 2/s | 1160.1s   
  2.69K layouts | best: -1.00T | 2/s | 1160.6s   
  2.69K layouts | best: -1.00T | 2/s | 1161.3s   
  2.70K layouts | best: -1.00T | 2/s | 1162.2s   
  2.70K layouts | best: -1.00T | 2/s | 1163.6s   
  2.70K layouts | best: -1.00T | 2/s | 1164.1s   
  2.70K layouts | best: -1.00T | 2/s | 1164.8s   
  2.70K layouts | best: -1.00T | 2/s | 1165.3s   
  2.70K layouts | best: -1.00T | 2/s | 1166.1s   
  2.71K layouts | best: -1.00T | 2/s | 1166.8s   
  2.71K layouts | best: -1.00T | 2/s | 1167.5s   
  2.71K layouts | best: -1.00T | 2/s | 1169.7s   
  2.71K layouts | best: -1.00T | 2/s | 1170.4s   
  2.71K layouts | best: -1.00T | 2/s | 1170.9s   
  2.72K layouts | best: -1.00T | 2/s | 1171.7s   
  2.72K layouts | best: -1.00T | 2/s | 1173.9s   
